Task ID,Sprint,Description,File Path,Status,Priority,Notes
T-030,5,RuntimeStats Component,src/components/RuntimeStats.tsx,Done,P0,Dashboard stat cards
T-031,6,Dashboard integration,src/app/dashboard/page.tsx,Done,P1,2026-03-21,RuntimeStats + LeaseManager + IdentityPanel wired into dashboard with ErrorBoundary wrapping
T-032,6,Intake → dispatch wiring,src/app/api/jobs/intake/route.ts,Done,P1,2026-03-21,Feature flag NEXT_PUBLIC_USE_DETERMINISTIC_RUNTIME routes to /api/runtime/dispatch
T-033,6,Error boundary + fallback UI,src/components/ErrorBoundary.tsx,Done,P2,2026-03-21,Class-based error boundary with HUD-styled fallback and reset button
T-034,6,Firestore indexes,firestore.indexes.json,Done,P1,2026-03-21,Composite indexes for envelopes execution_steps leases agent_identities protocol_messages job_traces
T-035,6,End-to-end test,N/A,Done,P1,2026-04-07,Full dispatch → execute → complete flow verified with 11 invariant tests
T-036,6,Agent identity seed script,scripts/seed-identities.ts,Done,P2,2026-03-21,Seeds COO Researcher Worker Grader into agent_identities with SHA-256 fingerprints
T-037,6,Lease cleanup cron,src/app/api/cron/lease-cleanup/route.ts,Done,P3,2026-04-01,Implemented in Phase 2 cron with dead-step recovery logic
T-038,6,Protocol message viewer,src/components/ProtocolViewer.tsx,Done,P3,2026-03-21,Collapsible HUD-styled debug viewer for #us# protocol messages
T-039,6,Performance metrics,src/app/api/cron/telemetry-rollup/route.ts,Done,P3,2026-04-01,Aggregation logic implemented in telemetry-rollup cron
T-040,6,Documentation update,docs/README.md,Done,P2,2026-03-22,Phase 2 documentation and task tracking updated
T-041,6,useJobs envelope reference fields,src/hooks/useJobs.ts,Done,P2,2026-03-22,Add envelope_id to Job interface
T-042,6,API client runtime methods,src/lib/api-client.ts,Done,P2,2026-03-22,Add getEnvelope getExecutionTrace sendUSMessage to ACEPLACEApiClient
T-043,6,TaskComposer runtime dispatch toggle,src/components/TaskComposer.tsx,Done,P2,2026-03-22,Add ACEPLACE RUNTIME toggle in TaskComposer
T-044,6,TaskDetail EnvelopeInspector integration,src/components/TaskDetail.tsx,Done,P2,2026-03-22,Integrated EnvelopeInspector and #us# protocol UI
T-045,6,JobDetail envelope execution view,src/app/dashboard/jobs/[jobId]/page.tsx,Done,P2,2026-03-22,Integrated EnvelopeInspector and stall detection in standalone job page
AE-001,N/A,Agent Engine - requirements.txt,agent-engine/requirements.txt,Done,P0,Python dependencies installed
AE-002,N/A,Agent Engine - config.py,agent-engine/config.py,Done,P0,LLM model configs and temperatures
AE-003,N/A,Agent Engine - Firestore service,agent-engine/services/firestore.py,Done,P0,Firebase Admin SDK operations
AE-004,N/A,Agent Engine - Pipeline state,agent-engine/graph/state.py,Done,P0,LangGraph state TypedDict
AE-005,N/A,Agent Engine - COO node,agent-engine/graph/nodes/coo.py,Done,P0,claude-sonnet-4-6 temp 0.2
AE-006,N/A,Agent Engine - Researcher node,agent-engine/graph/nodes/researcher.py,Done,P0,claude-sonnet-4-6 temp 0.3
AE-007,N/A,Agent Engine - Worker node,agent-engine/graph/nodes/worker.py,Done,P0,gpt-4o temp 0.4
AE-008,N/A,Agent Engine - Grader node,agent-engine/graph/nodes/grader.py,Done,P0,claude-haiku-4-5-20251001 temp 0.1
AE-009,N/A,Agent Engine - Pipeline graph,agent-engine/graph/pipeline.py,Done,P0,LangGraph DAG with conditional edges
AE-010,N/A,Agent Engine - FastAPI server,agent-engine/main.py,Done,P0,/execute /health /config endpoints
DB-001,N/A,Runtime DB helper,packages/runtime-core/src/db.ts,Done,P0,Non-null Firestore reference helper
N8N-001,N/A,Remove n8n dependency,src/app/api/jobs/intake/route.ts,Done,P0,Replaced n8n webhook with local agent engine
